23:10:34 0, 49, 29.15, 0 1, 50, 28.16, 0 
23:10:39 0, 49, 29.15, 0 1, 49, 28.16, 0 
23:10:44 0, 49, 29.15, 0 1, 49, 28.16, 0 
23:10:50 0, 49, 29.15, 0 1, 49, 28.16, 0 
23:10:55 0, 49, 29.15, 0 1, 49, 28.16, 0 
23:11:00 0, 49, 29.15, 0 1, 49, 28.16, 0 
23:11:05 0, 49, 28.91, 0 1, 49, 28.16, 0 
23:11:10 0, 49, 28.91, 0 1, 49, 27.92, 0 
23:11:15 0, 49, 28.91, 0 1, 49, 28.16, 0 
23:11:20 0, 49, 29.15, 0 1, 49, 28.17, 0 
23:11:25 0, 49, 29.15, 0 1, 49, 28.16, 0 
23:11:30 0, 48, 29.15, 0 1, 49, 27.92, 0 
23:11:35 0, 49, 28.91, 0 1, 49, 28.16, 0 
23:11:40 0, 49, 28.91, 0 1, 49, 28.16, 0 
23:11:45 0, 49, 29.15, 0 1, 50, 28.16, 0 
23:11:50 0, 49, 28.91, 0 1, 49, 28.17, 0 
23:11:55 0, 48, 28.91, 0 1, 49, 27.93, 0 
23:12:00 0, 48, 29.15, 0 1, 49, 28.17, 0 
23:12:05 0, 49, 29.15, 0 1, 49, 28.17, 0 
23:12:10 0, 49, 28.91, 0 1, 49, 28.16, 0 
23:12:15 0, 49, 29.15, 0 1, 49, 28.41, 0 
23:12:20 0, 49, 29.15, 0 1, 49, 28.17, 0 
23:12:25 0, 49, 29.15, 0 1, 49, 28.17, 0 
23:12:30 0, 49, 29.15, 0 1, 49, 28.17, 0 
23:12:36 0, 48, 29.15, 0 1, 50, 28.17, 0 
23:12:41 0, 48, 28.91, 0 1, 49, 28.16, 0 
23:12:46 0, 48, 29.15, 0 1, 49, 28.16, 0 
23:12:51 0, 48, 29.15, 0 1, 49, 28.17, 0 
23:12:56 0, 48, 29.15, 0 1, 49, 28.16, 0 
23:13:01 0, 48, 28.91, 0 1, 49, 28.16, 0 
23:13:06 0, 48, 29.15, 0 1, 49, 28.17, 0 
23:13:11 0, 48, 29.15, 0 1, 49, 28.16, 0 
23:13:16 0, 49, 29.15, 0 1, 50, 28.16, 0 
23:13:21 0, 48, 29.15, 0 1, 49, 28.16, 0 
23:13:26 0, 49, 29.15, 0 1, 49, 28.17, 0 
23:13:31 0, 49, 29.15, 0 1, 49, 28.17, 0 
23:13:36 0, 48, 28.91, 0 1, 49, 28.17, 0 
23:13:41 0, 48, 28.91, 0 1, 50, 28.16, 0 
23:13:46 0, 49, 29.15, 0 1, 50, 28.16, 0 
23:13:51 0, 48, 35.63, 0 1, 49, 34.39, 2 
23:13:56 0, 49, 35.87, 0 1, 49, 34.39, 0 
23:14:02 0, 48, 35.63, 0 1, 49, 34.15, 0 
23:14:07 0, 48, 35.63, 0 1, 49, 34.41, 0 
23:14:12 0, 48, 35.87, 0 1, 50, 34.39, 0 
23:14:17 0, 48, 35.63, 0 1, 49, 34.17, 0 
23:14:23 0, 48, 35.63, 0 1, 49, 34.15, 0 
23:14:28 0, 48, 35.63, 0 1, 49, 34.41, 0 
23:14:33 0, 48, 35.87, 0 1, 50, 34.39, 0 
23:14:38 0, 48, 35.63, 0 1, 49, 34.15, 0 
